Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Shots,SoT,Yellows,Reds,Touches,Press,Tackles,Interceptions,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Carries,Prog,Succ,Att,Report,Name
Sun,MLS,Regular Season,Home,W 2–1,Atlanta Utd,Charlotte FC,Y,CB,90,0,0,0,0,0,0,1,0,72,10,0,3,2,0.0,0.0,0.2,2,1,55,61,90.2,3,54,0,0,1,Match Report,George Campbell
Sat,MLS,Regular Season,Home,D 3–3,Atlanta Utd,CF Montréal,N,CB,45,0,0,0,0,0,0,0,0,32,9,1,3,1,0.0,0.0,0.0,0,0,24,30,80.0,1,28,4,0,0,Match Report,George Campbell
Sat,MLS,Regular Season,Away,W 1–0,Atlanta Utd,D.C. United,Y,CB,90,0,0,0,0,0,0,1,0,66,10,1,5,4,0.0,0.0,0.0,0,0,39,50,78.0,1,41,4,0,0,Match Report,George Campbell
Sun,MLS,Regular Season,Away,L 0–1,Atlanta Utd,Charlotte FC,Y,CB,90,0,0,0,0,0,0,0,0,60,16,0,3,3,0.0,0.0,0.0,2,0,47,53,88.7,6,44,2,0,0,Match Report,George Campbell
Sat,MLS,Regular Season,Home,D 0–0,Atlanta Utd,FC Cincinnati,Y,CB,90,0,0,0,0,0,0,1,0,67,6,2,2,5,0.0,0.0,0.0,2,0,43,52,82.7,5,45,2,1,1,Match Report,George Campbell
Sun,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Inter Miami,Y,CB,90,0,0,0,0,1,0,0,0,66,10,1,3,1,0.1,0.1,0.0,0,0,48,60,80.0,4,37,0,0,0,Match Report,George Campbell
,,,,,,,,,,George Campbell
Sun,MLS,Regular Season,Home,D 2–2,Atlanta Utd,New England,N,"On matchday squad, but did not play",Match Report,George Campbell
Sat,MLS,Regular Season,Away,D 2–2,Atlanta Utd,Nashville,N,CB,17,0,0,0,0,0,0,0,0,12,2,0,0,1,0.0,0.0,0.0,0,0,8,9,88.9,0,5,0,0,0,Match Report,George Campbell
Sat,MLS,Regular Season,Home,L 1–2,Atlanta Utd,Columbus Crew,N,CB,45,0,0,0,0,1,0,0,0,33,3,1,0,0,0.1,0.1,0.0,1,0,26,31,83.9,3,21,0,0,0,Match Report,George Campbell
Sun,MLS,Regular Season,Home,W 2–0,Atlanta Utd,Inter Miami,Y,CB,90,0,0,0,0,1,1,0,0,77,11,5,7,2,0.1,0.1,0.1,2,0,60,62,96.8,6,51,6,0,0,Match Report,George Campbell
Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Toronto FC,Y,CB,90,0,0,0,0,1,0,0,0,68,8,2,2,2,0.0,0.0,0.1,1,0,46,55,83.6,0,37,2,0,1,Match Report,George Campbell
Thu,MLS,Regular Season,Away,L 1–2,Atlanta Utd,NY Red Bulls,Y,CB,90,0,0,0,0,0,0,0,0,92,4,2,4,2,0.0,0.0,0.0,1,0,61,77,79.2,2,58,2,3,4,Match Report,George Campbell
Sun,MLS,Regular Season,Away,D 2–2,Atlanta Utd,NYCFC,Y,CB,90,0,0,0,0,0,0,0,0,61,8,2,2,2,0.0,0.0,0.0,0,0,43,44,97.7,3,37,1,0,0,Match Report,George Campbell
Sat,MLS,Regular Season,Home,L 0–3,Atlanta Utd,Austin FC,Y,CB,90,0,0,0,0,2,1,0,0,98,6,0,1,4,0.1,0.1,0.1,4,0,79,85,92.9,7,69,8,0,0,Match Report,George Campbell
Wed,MLS,Regular Season,Home,W 2–1,Atlanta Utd,Real Salt Lake,Y,CB,90,0,0,0,0,0,0,0,0,67,6,0,1,1,0.0,0.0,0.0,1,0,49,56,87.5,4,40,3,0,0,Match Report,George Campbell
Sun,MLS,Regular Season,Home,D 1–1,Atlanta Utd,Orlando City,Y,CB,90,0,0,0,0,1,0,0,0,69,5,0,1,3,0.1,0.1,0.0,0,0,57,60,95.0,3,53,11,1,1,Match Report,George Campbell
Sun,MLS,Regular Season,Home,W 3–1,Atlanta Utd,Sporting KC,N,RW,27,0,0,0,0,1,1,0,0,14,7,1,0,0,0.2,0.2,0.5,1,0,11,13,84.6,0,9,1,0,0,Match Report,Brooks Lennon
Sat,MLS,Regular Season,Away,L 0–3,Atlanta Utd,Colorado Rapids,Y,RW,63,0,0,0,0,0,0,0,0,36,2,0,0,0,0.0,0.0,0.3,2,0,20,32,62.5,0,16,0,0,0,Match Report,Brooks Lennon
Sun,MLS,Regular Season,Home,W 2–1,Atlanta Utd,Charlotte FC,Y,"RW,RB",90,0,0,0,0,0,0,0,0,75,10,2,0,1,0.0,0.0,0.4,7,1,47,66,71.2,0,40,3,1,1,Match Report,Brooks Lennon
Sat,MLS,Regular Season,Home,D 3–3,Atlanta Utd,CF Montréal,Y,"RW,WB,RB",90,1,0,0,0,1,1,0,0,62,14,2,0,0,0.0,0.0,0.1,2,0,43,54,79.6,2,40,3,1,2,Match Report,Brooks Lennon
Sat,MLS,Regular Season,Away,W 1–0,Atlanta Utd,D.C. United,Y,"RB,WB",90,0,1,0,0,1,0,0,0,77,8,2,2,2,0.0,0.0,0.1,5,1,63,71,88.7,2,48,6,1,1,Match Report,Brooks Lennon
Sun,MLS,Regular Season,Away,L 0–1,Atlanta Utd,Charlotte FC,Y,"WB,RB",90,0,0,0,0,1,0,0,0,49,13,0,3,1,0.0,0.0,0.1,2,0,33,43,76.7,1,28,1,0,1,Match Report,Brooks Lennon
Sat,MLS,Regular Season,Home,D 0–0,Atlanta Utd,FC Cincinnati,Y,RB,90,0,0,0,0,4,1,0,0,63,8,2,0,1,0.1,0.1,0.6,6,0,39,52,75.0,1,38,6,0,1,Match Report,Brooks Lennon
Sun,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Inter Miami,Y,RB,90,0,0,0,0,2,0,1,0,60,16,2,3,1,0.5,0.5,0.4,4,0,37,49,75.5,1,34,4,0,1,Match Report,Brooks Lennon
Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,CF Montréal,Y,RB,90,0,0,0,0,1,1,0,0,78,25,3,1,1,0.1,0.1,0.1,4,0,55,69,79.7,5,40,4,0,0,Match Report,Brooks Lennon
Sat,MLS,Regular Season,Home,W 4–1,Atlanta Utd,Chicago Fire,Y,RB,90,1,0,0,0,2,1,0,0,79,14,4,1,2,0.2,0.2,0.3,3,0,56,68,82.4,5,45,3,0,0,Match Report,Brooks Lennon
Sun,MLS,Regular Season,Home,D 2–2,Atlanta Utd,New England,Y,RB,90,0,0,0,0,0,0,0,0,81,16,0,1,4,0.0,0.0,0.1,7,0,60,75,80.0,6,53,2,0,0,Match Report,Brooks Lennon
Sat,MLS,Regular Season,Away,D 2–2,Atlanta Utd,Nashville,Y,"RB,WB",90,0,1,0,0,0,0,0,0,49,13,1,3,1,0.0,0.0,0.9,2,1,30,36,83.3,1,24,0,0,0,Match Report,Brooks Lennon
Sat,MLS,Regular Season,Home,L 1–2,Atlanta Utd,Columbus Crew,Y,"WB,RB,LB",90,0,0,0,0,1,1,0,0,72,16,1,0,2,0.2,0.2,0.2,6,0,51,64,79.7,1,43,9,0,1,Match Report,Brooks Lennon
Sun,MLS,Regular Season,Home,W 2–0,Atlanta Utd,Inter Miami,Y,RB,90,0,0,0,0,1,1,0,0,73,5,1,2,1,0.2,0.2,0.1,2,0,58,66,87.9,6,49,7,0,0,Match Report,Brooks Lennon
Sun,Liga MX,Clausura 2022 Regular Season,Home,W 3–0,Guadalajara,Mazatlán,N,,5,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report,Ronaldo Cisneros
Sun,Liga MX,Clausura 2022 Regular Season,Away,L 1–2,Guadalajara,Pachuca,N,"On matchday squad, but did not play",Match Report,Ronaldo Cisneros
Sat,Liga MX,Clausura 2022 Regular Season,Home,D 1–1,Guadalajara,Querétaro,N,"On matchday squad, but did not play",Match Report,Ronaldo Cisneros
Wed,Liga MX,Clausura 2022 Regular Season,Away,W 3–1,Guadalajara,FC Juárez,N,,1,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report,Ronaldo Cisneros
Sat,Liga MX,Clausura 2022 Regular Season,Home,L 1–3,Guadalajara,UANL,N,"On matchday squad, but did not play",Match Report,Ronaldo Cisneros
Sat,Liga MX,Clausura 2022 Regular Season,Away,L 1–2,Guadalajara,León,N,"On matchday squad, but did not play",Match Report,Ronaldo Cisneros
,,,,,,,,,,Ronaldo Cisneros
Wed,Liga MX,Clausura 2022 Regular Season,Away,D 2–2,Guadalajara,Atlético,N,"On matchday squad, but did not play",Match Report,Ronaldo Cisneros
Sun,MLS,Regular Season,Away,L 0–1,Atlanta Utd,Charlotte FC,N,FW,26,0,0,0,0,0,0,0,0,8,5,0,0,1,0.0,0.0,0.0,2,0,2,3,66.7,0,7,0,0,0,Match Report,Ronaldo Cisneros
Sat,MLS,Regular Season,Home,D 0–0,Atlanta Utd,FC Cincinnati,Y,FW,79,0,0,0,0,2,0,0,0,14,10,0,0,0,0.7,0.7,0.0,1,0,4,6,66.7,0,10,1,0,0,Match Report,Ronaldo Cisneros
Sun,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Inter Miami,Y,FW,90,1,0,0,0,5,4,0,0,31,14,0,1,1,0.8,0.8,0.1,3,0,12,18,66.7,0,14,1,0,0,Match Report,Ronaldo Cisneros
Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,CF Montréal,Y,FW,90,0,0,0,0,3,0,0,0,21,6,0,0,1,0.2,0.2,0.0,3,0,12,15,80.0,0,12,2,0,1,Match Report,Ronaldo Cisneros
Sat,MLS,Regular Season,Home,W 4–1,Atlanta Utd,Chicago Fire,Y,FW,90,3,0,0,0,4,4,0,0,18,4,0,2,0,1.5,1.5,0.0,1,0,9,12,75.0,0,11,2,0,0,Match Report,Ronaldo Cisneros
Sun,MLS,Regular Season,Home,D 2–2,Atlanta Utd,New England,Y,FW,70,0,0,0,0,1,0,0,0,22,10,0,0,0,0.0,0.0,0.0,0,0,10,16,62.5,0,15,2,0,3,Match Report,Ronaldo Cisneros
Sat,MLS,Regular Season,Away,D 2–2,Atlanta Utd,Nashville,Y,FW,90,0,0,0,0,3,0,0,0,20,9,0,0,0,0.1,0.1,0.0,2,0,11,13,84.6,0,12,1,0,0,Match Report,Ronaldo Cisneros
Sat,MLS,Regular Season,Home,L 1–2,Atlanta Utd,Columbus Crew,Y,"FW,WB",67,0,0,0,0,3,1,0,0,26,10,1,1,0,0.1,0.1,0.0,1,0,15,19,78.9,0,17,2,0,1,Match Report,Ronaldo Cisneros
Sun,MLS,Regular Season,Home,W 2–0,Atlanta Utd,Inter Miami,Y,LW,74,0,0,0,0,1,0,0,0,31,9,1,0,1,0.1,0.1,0.0,1,0,23,26,88.5,3,22,2,2,3,Match Report,Ronaldo Cisneros
Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Toronto FC,Y,"LW,RW",90,0,0,0,0,1,0,0,0,27,8,1,1,1,0.1,0.1,0.0,1,0,10,15,66.7,2,19,2,1,2,Match Report,Ronaldo Cisneros
Thu,MLS,Regular Season,Away,L 1–2,Atlanta Utd,NY Red Bulls,Y,FW,62,0,0,0,0,2,1,0,0,16,5,0,0,0,0.2,0.2,0.0,0,0,8,10,80.0,0,10,1,0,0,Match Report,Ronaldo Cisneros
Sun,MLS,Regular Season,Away,D 2–2,Atlanta Utd,NYCFC,N,"LW,LM",24,0,1,0,0,0,0,0,0,11,1,0,1,0,0.0,0.0,0.0,0,0,7,10,70.0,0,8,1,0,0,Match Report,Ronaldo Cisneros
Sat,MLS,Regular Season,Home,L 0–3,Atlanta Utd,Austin FC,Y,LW,45,0,0,0,0,2,0,0,0,14,6,0,0,0,0.1,0.1,0.0,0,0,7,9,77.8,1,13,3,0,0,Match Report,Ronaldo Cisneros
Wed,MLS,Regular Season,Home,W 2–1,Atlanta Utd,Real Salt Lake,Y,FW,76,2,0,0,0,3,3,0,0,18,11,0,0,0,0.4,0.4,0.0,2,2,12,12,100.0,0,17,3,3,4,Match Report,Ronaldo Cisneros
Sun,MLS,Regular Season,Home,D 1–1,Atlanta Utd,Orlando City,Y,"FW,RW",73,0,0,0,0,1,1,0,0,16,11,0,0,2,0.0,0.0,0.1,2,0,10,11,90.9,0,6,2,0,0,Match Report,Ronaldo Cisneros
Sun,MLS,Regular Season,Home,W 2–1,Atlanta Utd,Charlotte FC,N,LW,35,0,0,0,0,0,0,0,0,15,2,0,0,1,0.0,0.0,0.0,0,0,7,11,63.6,0,10,0,1,1,Match Report,Thiago Almada
Sat,MLS,Regular Season,Home,D 3–3,Atlanta Utd,CF Montréal,N,"CM,AM",45,1,0,0,0,1,1,0,0,40,10,1,1,0,0.0,0.0,0.1,1,0,27,34,79.4,4,34,5,0,2,Match Report,Thiago Almada
